"","x"
"376",1.775903918
"377",1.085337221
"378",0.803431169
"379",0.849181782
"380",0.866777529
"381",0.256429689
"382",0.765668216
"383",0.728612439
"384",1.288591308
"385",NA
"386",0.690211713
"387",NA
"388",0.439081164
"389",NA
"390",NA
"391",0.055443146
"392",1.137772621
"393",0.647527765
"394",1.333317485
"395",1.508254927
"396",1.239804993
"397",2.111084063
"398",1.841352579
"399",2.362815082
"400",3.154701134
"401",2.817436684
"402",2.09585187
"403",1.71957113466893
"404",2.626292116
"405",0.997635217
"406",1.197930043
"407",1.545529476
"408",1.116019484
"409",NA
"410",0.902196423
"411",1.147092477
"412",0.768462745
"413",NA
"414",1.73189479
"415",0.857249184
"416",NA
"417",NA
"418",NA
"419",0.65137149
"420",0.572147358
"421",1.344493566
"422",0.638752199
"423",0.676373104
"424",1.943354193
"425",2.608662154
"426",2.64224696
"427",1.662223207
"428",NA
"429",NA
"430",0.738975871
"431",NA
"432",NA
"433",NA
"434",NA
"435",NA
"436",NA
"437",0.568207422
"438",1.281203074
"439",1.109158611
"440",1.458996684
"441",NA
"442",0.682926657
"443",1.078703073
"444",1.400992164
"445",1.475996231
"446",2.447210426
"447",2.610669771
"448",1.869120646
"449",1.725060285
"450",2.08939155
"451",1.172362562
"452",0.925324949
"453",0.412403778
"454",1.070996716
"455",0.895420397
"456",NA
"457",0.477083507
"458",0.72155686
"459",0.589818797
"460",NA
"461",1.234524562
"462",0.328250373
"463",0.869488875
"464",0.423883418
"465",0.581545924
"466",0.695244842
"467",1.215672556
"468",1.655500264
"469",2.693626983
"470",3.302603149
"471",3.171713998
"472",2.93702268
"473",3.007100797
"474",2.544925372
"475",1.433965353
"476",1.031585092
"477",0.693175732
"478",0.596366012
"479",0.911129168
"480",1.109178974
"481",0.391085488
"482",0.728360246
"483",0.435056877
"484",0.908761394
"485",1.457720633
"486",1.289367069
"487",0.854287739
"488",0.575495935
"489",1.292289926
"490",0.776652812
"491",0.866633659
"492",0.895947265
